./testme 
2 
argumentSet = 2
Iteration 1: c = t, s = }re] , state = 0
Iteration 56791: c = [, s =  e}((, state = 9
Iteration 56792: c = }, s =  )sae, state = 9
Iteration 56793: c = r, s = (]}t{, state = 9
Iteration 56794: c = ), s = {{])t, state = 9
Iteration 56795: c = [, s = ] xr{, state = 9
Iteration 56796: c = {, s = e){x], state = 9
Iteration 56797: c =  , s = [[sta, state = 9
Iteration 56798: c = e, s = ])x(), state = 9
Iteration 56799: c = e, s = ]rtxx, state = 9
Iteration 56800: c = [, s = )(x[t, state = 9
Iteration 56801: c = r, s = {raaa, state = 9
Iteration 56802: c = t, s = ea{] , state = 9
Iteration 56803: c = ], s = x[ t(, state = 9
Iteration 56804: c = t, s = sset}, state = 9
Iteration 56805: c = {, s = ([x}{, state = 9
Iteration 56806: c = x, s =  x )s, state = 9
Iteration 56807: c = r, s = ]e(tx, state = 9
Iteration 56808: c = }, s = ]t)[t, state = 9
Iteration 56809: c = ], s = ttrrt, state = 9
Iteration 56810: c = {, s = [[a}r, state = 9
Iteration 56811: c = ), s = [((x], state = 9
Iteration 56812: c = (, s = {xt x, state = 9
Iteration 56813: c = }, s = r{} {, state = 9
Iteration 56814: c = ), s = ( ]tt, state = 9
Iteration 56815: c = ), s =  (e)r, state = 9
Iteration 56816: c = }, s =  r)}a, state = 9
Iteration 56817: c = a, s = e}ssr, state = 9
Iteration 56818: c =  , s = a))ts, state = 9
Iteration 56819: c = r, s = ]((a{, state = 9
Iteration 56820: c = {, s = sxa](, state = 9
Iteration 56821: c = {, s =  x(e[, state = 9
Iteration 56822: c = x, s =  es{], state = 9
Iteration 56823: c = ), s = ){({(, state = 9
Iteration 56824: c = (, s = [ta{ , state = 9
Iteration 56825: c = }, s = a(s]t, state = 9
Iteration 56826: c = [, s = s{)t{, state = 9
Iteration 56827: c = r, s = }xrar, state = 9
Iteration 56828: c = }, s = sa](}, state = 9
Iteration 56829: c = t, s = x]sre, state = 9
Iteration 56830: c = (, s = x{axt, state = 9
Iteration 56831: c = x, s = )te([, state = 9
Iteration 56832: c = t, s = [}}re, state = 9
Iteration 56833: c =  , s = {e)[t, state = 9
Iteration 56834: c = {, s = t}eta, state = 9
Iteration 56835: c = e, s = [rt}{, state = 9
Iteration 56836: c = [, s = tr{s[, state = 9
Iteration 56837: c = a, s = e[[xs, state = 9
Iteration 56838: c = e, s = e{e}{, state = 9
Iteration 56839: c = s, s = ](a][, state = 9
Iteration 56840: c = ], s = x{)}s, state = 9
Iteration 56841: c = r, s = ]exe], state = 9
Iteration 56842: c = ), s = {)ra(, state = 9
Iteration 56843: c = ), s = (te[), state = 9
Iteration 56844: c = t, s = s  a[, state = 9
Iteration 56845: c = x, s = {xer[, state = 9
Iteration 56846: c = ], s = x])t], state = 9
Iteration 56847: c = a, s = )t[x , state = 9
Iteration 56848: c = (, s = [}{t), state = 9
Iteration 56849: c = e, s = [){ t, state = 9
Iteration 56850: c = {, s = s(r]e, state = 9
Iteration 56851: c = r, s = xaat , state = 9
Iteration 56852: c = (, s =  t[ x, state = 9
Iteration 56853: c =  , s = })er}, state = 9
Iteration 56854: c = a, s = }}set, state = 9
Iteration 56855: c = e, s = te[]), state = 9
Iteration 56856: c = e, s = }t(t[, state = 9
Iteration 56857: c = ), s = ( }(], state = 9
Iteration 56858: c = [, s = x()at, state = 9
Iteration 56859: c = [, s = ])r]a, state = 9
Iteration 56860: c = ], s = ] x][, state = 9
Iteration 56861: c = (, s = ]}[s}, state = 9
Iteration 56862: c = {, s = x)x(], state = 9
Iteration 56863: c = {, s =  {xs}, state = 9
Iteration 56864: c = x, s = [ tst, state = 9
Iteration 56865: c = a, s = })r[a, state = 9
Iteration 56866: c = e, s = ((  [, state = 9
Iteration 56867: c = s, s = x)xte, state = 9
Iteration 56868: c =  , s =  ()r(, state = 9
Iteration 56869: c = (, s = ( a{{, state = 9
Iteration 56870: c = x, s = ]](xs, state = 9
Iteration 56871: c = }, s = {())x, state = 9
Iteration 56872: c = r, s = }ta[(, state = 9
Iteration 56873: c =  , s =  aas{, state = 9
Iteration 56874: c = ), s = (x[)], state = 9
Iteration 56875: c = {, s = [ t(], state = 9
Iteration 56876: c = t, s = rt(}), state = 9
Iteration 56877: c = ], s = {{r]{, state = 9
Iteration 56878: c = e, s = t}ax}, state = 9
Iteration 56879: c = }, s = [)({(, state = 9
Iteration 56880: c = r, s = a txx, state = 9
Iteration 56881: c = e, s = x s}r, state = 9
Iteration 56882: c = x, s =  t)t), state = 9
Iteration 56883: c = e, s = t}x t, state = 9
Iteration 56884: c = s, s = s()t , state = 9
Iteration 56885: c = ], s = er(t , state = 9
Iteration 56886: c = }, s = s]sr , state = 9
Iteration 56887: c = ], s = {})s}, state = 9
Iteration 56888: c =  , s = exeae, state = 9
Iteration 56889: c = s, s = {e(rt, state = 9
Iteration 56890: c = }, s = )r{]], state = 9
Iteration 56891: c = ), s =  } ( , state = 9
Iteration 56892: c = }, s = r){x), state = 9
Iteration 56893: c = e, s = rxa]r, state = 9
Iteration 56894: c =  , s = ]([st, state = 9
Iteration 56895: c = t, s = a]s]x, state = 9
Iteration 56896: c = ], s = {]a)t, state = 9
Iteration 56897: c = r, s =  e xx, state = 9
Iteration 56898: c = t, s = a }]s, state = 9
Iteration 56899: c = x, s = s]}s}, state = 9
Iteration 56900: c = ), s = [t s), state = 9
Iteration 56901: c = ], s = ]s}t}, state = 9
Iteration 56902: c = ), s = ]ra[ , state = 9
Iteration 56903: c = s, s = [)(}{, state = 9
Iteration 56904: c = t, s = s[r}[, state = 9
Iteration 56905: c = {, s = ({(}[, state = 9
Iteration 56906: c = e, s =  rrse, state = 9
Iteration 56907: c = a, s = x}[t}, state = 9
Iteration 56908: c =  , s = e}et{, state = 9
Iteration 56909: c = (, s = [{(er, state = 9
Iteration 56910: c =  , s = (t}x), state = 9
Iteration 56911: c = ], s = ae}{s, state = 9
Iteration 56912: c = a, s = } e}a, state = 9
Iteration 56913: c = x, s = s{t] , state = 9
Iteration 56914: c =  , s = sxx({, state = 9
Iteration 56915: c =  , s = x}{[[, state = 9
Iteration 56916: c = r, s = ]ara), state = 9
Iteration 56917: c = ), s = ][t)r, state = 9
Iteration 56918: c = a, s = t)][x, state = 9
Iteration 56919: c = [, s =   xs), state = 9
Iteration 56920: c = e, s = (tx}(, state = 9
Iteration 56921: c = x, s = ars[{, state = 9
Iteration 56922: c = ), s = rees}, state = 9
Iteration 56923: c = }, s = {]{t], state = 9
Iteration 56924: c = r, s = (({}t, state = 9
Iteration 56925: c = r, s = x[]e], state = 9
Iteration 56926: c = r, s = a[) {, state = 9
Iteration 56927: c = t, s = ttsre, state = 9
Iteration 56928: c = x, s = a([){, state = 9
Iteration 56929: c = ], s = x s)s, state = 9
Iteration 56930: c = e, s =  a[[ , state = 9
Iteration 56931: c = ], s = s]]}[, state = 9
Iteration 56932: c = s, s = x(t s, state = 9
Iteration 56933: c = r, s = eate[, state = 9
Iteration 56934: c = (, s = ]}}][, state = 9
Iteration 56935: c = a, s = }ae]}, state = 9
Iteration 56936: c = (, s =  xs([, state = 9
Iteration 56937: c = [, s = ()([t, state = 9
Iteration 56938: c = (, s = se}er, state = 9
Iteration 56939: c = }, s = [}(}{, state = 9
Iteration 56940: c = {, s = te]ex, state = 9
Iteration 56941: c = (, s = []][s, state = 9
Iteration 56942: c = ], s = {t{ t, state = 9
Iteration 56943: c = {, s = )et{r, state = 9
Iteration 56944: c = e, s = ]rata, state = 9
Iteration 56945: c = ], s =  axs , state = 9
Iteration 56946: c = e, s = (x)ex, state = 9
Iteration 56947: c = }, s = ))xet, state = 9
Iteration 56948: c = ), s = (]}[e, state = 9
Iteration 56949: c =  , s = t]( ), state = 9
Iteration 56950: c = ], s = [e(xe, state = 9
Iteration 56951: c = a, s = asste, state = 9
Iteration 56952: c =  , s = ))t(a, state = 9
Iteration 56953: c = [, s = ]xr{), state = 9
Iteration 56954: c = }, s = )}(et, state = 9
Iteration 56955: c = e, s = xt)}), state = 9
Iteration 56956: c = a, s = tsxet, state = 9
Iteration 56957: c = a, s = {}s ], state = 9
Iteration 56958: c = a, s = a s[), state = 9
Iteration 56959: c = x, s = ] (t , state = 9
Iteration 56960: c = {, s = r] aa, state = 9
Iteration 56961: c = e, s = e sa , state = 9
Iteration 56962: c = e, s = rxarr, state = 9
Iteration 56963: c = (, s = ({}ta, state = 9
Iteration 56964: c =  , s = )t}e[, state = 9
Iteration 56965: c = s, s = te)a , state = 9
Iteration 56966: c = [, s = a[xa), state = 9
Iteration 56967: c = ], s = (  )(, state = 9
Iteration 56968: c = (, s = ]{ aa, state = 9
Iteration 56969: c = r, s = )[]{e, state = 9
Iteration 56970: c = r, s = (s]ea, state = 9
Iteration 56971: c = s, s = e][{(, state = 9
Iteration 56972: c = r, s = [ t t, state = 9
Iteration 56973: c =  , s = }exs(, state = 9
Iteration 56974: c = s, s = )][{t, state = 9
Iteration 56975: c = t, s = [[tee, state = 9
Iteration 56976: c = a, s = er([t, state = 9
Iteration 56977: c =  , s = r(]s}, state = 9
Iteration 56978: c = ), s = (t}]e, state = 9
Iteration 56979: c = ), s = )aar], state = 9
Iteration 56980: c = a, s = rs}]], state = 9
Iteration 56981: c = a, s = (][x], state = 9
Iteration 56982: c = (, s = ]aax{, state = 9
Iteration 56983: c = e, s = (xs](, state = 9
Iteration 56984: c = e, s = ae r}, state = 9
Iteration 56985: c = (, s = {at][, state = 9
Iteration 56986: c = r, s = ( aa], state = 9
Iteration 56987: c = (, s = )x}te, state = 9
Iteration 56988: c = e, s = st e), state = 9
Iteration 56989: c = }, s = rs [r, state = 9
Iteration 56990: c = r, s = ([({r, state = 9
Iteration 56991: c =  , s = [t}) , state = 9
Iteration 56992: c = a, s = ]sr t, state = 9
Iteration 56993: c = ), s =  e}]r, state = 9
Iteration 56994: c = {, s = (}{a], state = 9
Iteration 56995: c = t, s = {stx[, state = 9
Iteration 56996: c = e, s = ]{ear, state = 9
Iteration 56997: c = {, s = ]x{ae, state = 9
Iteration 56998: c = (, s = [[(]], state = 9
Iteration 56999: c = t, s = esx[{, state = 9
Iteration 57000: c = {, s = (x[{e, state = 9
Iteration 57001: c = {, s = []xt(, state = 9
Iteration 57002: c =  , s =  re]{, state = 9
Iteration 57003: c = ], s = r ets, state = 9
Iteration 57004: c = ], s = ts}}[, state = 9
Iteration 57005: c = r, s = s( s , state = 9
Iteration 57006: c = {, s =  xee}, state = 9
Iteration 57007: c = [, s = {tr[), state = 9
Iteration 57008: c = (, s = ]x})x, state = 9
Iteration 57009: c = }, s = {aart, state = 9
Iteration 57010: c = }, s = )e)ts, state = 9
Iteration 57011: c = [, s = ( )([, state = 9
Iteration 57012: c = (, s = ({[[a, state = 9
Iteration 57013: c = r, s = (((rr, state = 9
Iteration 57014: c = }, s = {[trr, state = 9
Iteration 57015: c = t, s = {xrta, state = 9
Iteration 57016: c = r, s = t}t}r, state = 9
Iteration 57017: c = (, s = re}se, state = 9
Iteration 57018: c = e, s = )[trr, state = 9
Iteration 57019: c = e, s = ateae, state = 9
Iteration 57020: c = r, s =  t((s, state = 9
Iteration 57021: c = ], s = st t], state = 9
Iteration 57022: c = t, s = (ar)x, state = 9
Iteration 57023: c = r, s = a(rxe, state = 9
Iteration 57024: c = ], s = {ar[], state = 9
Iteration 57025: c = }, s = s[xt , state = 9
Iteration 57026: c = }, s = r xt , state = 9
Iteration 57027: c = [, s = sa)e[, state = 9
Iteration 57028: c = (, s = ]}{}t, state = 9
Iteration 57029: c = {, s = ( }ex, state = 9
Iteration 57030: c =  , s =    s , state = 9
Iteration 57031: c = }, s = }(es(, state = 9
Iteration 57032: c = {, s = (t]es, state = 9
Iteration 57033: c = ], s = [}(a[, state = 9
Iteration 57034: c = {, s = ] }((, state = 9
Iteration 57035: c = s, s = }}{r}, state = 9
Iteration 57036: c = ), s = xt]a[, state = 9
Iteration 57037: c = r, s = } s({, state = 9
Iteration 57038: c = s, s = s{)(], state = 9
Iteration 57039: c = r, s = aatex, state = 9
Iteration 57040: c = {, s = e(ste, state = 9
Iteration 57041: c = a, s = ]a}}], state = 9
Iteration 57042: c = ], s = a s{}, state = 9
Iteration 57043: c = {, s =  aae], state = 9
Iteration 57044: c = t, s = }txxr, state = 9
Iteration 57045: c = s, s = e]t]], state = 9
Iteration 57046: c = s, s = txx)s, state = 9
Iteration 57047: c = [, s = { }{), state = 9
Iteration 57048: c = t, s = ae}er, state = 9
Iteration 57049: c = (, s = ta{at, state = 9
Iteration 57050: c = [, s = ar]xa, state = 9
Iteration 57051: c = x, s = axss[, state = 9
Iteration 57052: c = r, s = sa(a), state = 9
Iteration 57053: c = r, s = }s](s, state = 9
Iteration 57054: c = x, s = aes}(, state = 9
Iteration 57055: c = e, s = }]}([, state = 9
Iteration 57056: c = e, s = r}x)a, state = 9
Iteration 57057: c = x, s = xxr)s, state = 9
Iteration 57058: c = x, s =  aa[), state = 9
Iteration 57059: c = a, s = )s(}}, state = 9
Iteration 57060: c = a, s =  (te , state = 9
Iteration 57061: c = [, s = rt](], state = 9
Iteration 57062: c = [, s = ][x)), state = 9
Iteration 57063: c =  , s = (tex[, state = 9
Iteration 57064: c = a, s = srxt{, state = 9
Iteration 57065: c = s, s = a}{xx, state = 9
Iteration 57066: c = ), s = x ](), state = 9
Iteration 57067: c =  , s =  { ]s, state = 9
Iteration 57068: c = [, s = s[(e), state = 9
Iteration 57069: c =  , s = a}[r), state = 9
Iteration 57070: c = {, s = rsesa, state = 9
Iteration 57071: c = a, s = xs][(, state = 9
Iteration 57072: c = {, s = xa}st, state = 9
Iteration 57073: c = ), s = s[)(t, state = 9
Iteration 57074: c =  , s = ) s)t, state = 9
Iteration 57075: c = }, s = ss}ss, state = 9
Iteration 57076: c = t, s = {a[e}, state = 9
Iteration 57077: c = (, s = tt}]e, state = 9
Iteration 57078: c = ), s = {ers[, state = 9
Iteration 57079: c = r, s =  )t{ , state = 9
Iteration 57080: c = (, s = e{t {, state = 9
Iteration 57081: c = e, s = xa xa, state = 9
Iteration 57082: c = t, s = }x[([, state = 9
Iteration 57083: c = e, s = rar){, state = 9
Iteration 57084: c = r, s =  }}x], state = 9
Iteration 57085: c = r, s = })[)e, state = 9
Iteration 57086: c = {, s = }artr, state = 9
Iteration 57087: c = [, s = sxxs}, state = 9
Iteration 57088: c = ], s = eat}t, state = 9
Iteration 57089: c = {, s = aaeer, state = 9
Iteration 57090: c = ), s = )a()s, state = 9
Iteration 57091: c = [, s = txx]a, state = 9
Iteration 57092: c = (, s = ]a][{, state = 9
Iteration 57093: c = {, s = e(]e), state = 9
Iteration 57094: c = r, s = ([(ss, state = 9
Iteration 57095: c = e, s = x)a] , state = 9
Iteration 57096: c = {, s = ]{r[e, state = 9
Iteration 57097: c = {, s = ax}t], state = 9
Iteration 57098: c = e, s =  xsta, state = 9
Iteration 57099: c = ), s = ]xesx, state = 9
Iteration 57100: c = ], s = sta{), state = 9
Iteration 57101: c = ), s = a e x, state = 9
Iteration 57102: c = r, s = xs{(s, state = 9
Iteration 57103: c = t, s = [ }ta, state = 9
Iteration 57104: c = [, s = ]{xx[, state = 9
Iteration 57105: c = [, s = {st}{, state = 9
Iteration 57106: c = ), s =  re{t, state = 9
Iteration 57107: c = a, s = s} {), state = 9
Iteration 57108: c =  , s = (]}er, state = 9
Iteration 57109: c = [, s = ea{at, state = 9
Iteration 57110: c = a, s = a(xae, state = 9
Iteration 57111: c = ), s = s[ e{, state = 9
Iteration 57112: c = {, s =  {s}x, state = 9
Iteration 57113: c = x, s = r]{ x, state = 9
Iteration 57114: c = s, s =  ax)r, state = 9
Iteration 57115: c = a, s = s{) }, state = 9
Iteration 57116: c = }, s = s}} x, state = 9
Iteration 57117: c = e, s = ]r[}{, state = 9
Iteration 57118: c = ), s = [({ }, state = 9
Iteration 57119: c = e, s = (s(]x, state = 9
Iteration 57120: c = t, s = (x{rr, state = 9
Iteration 57121: c = ], s = {ras(, state = 9
Iteration 57122: c = s, s = er)ea, state = 9
Iteration 57123: c = t, s = }x{re, state = 9
Iteration 57124: c = ], s = }[}rr, state = 9
Iteration 57125: c = [, s = rex[], state = 9
Iteration 57126: c =  , s = ][(([, state = 9
Iteration 57127: c =  , s = [e(re, state = 9
Iteration 57128: c = ], s = e [t(, state = 9
Iteration 57129: c = e, s = r)ea}, state = 9
Iteration 57130: c = ], s = aa]ta, state = 9
Iteration 57131: c =  , s = {(x} , state = 9
Iteration 57132: c = x, s = sxxt , state = 9
Iteration 57133: c = {, s = )()r{, state = 9
Iteration 57134: c = r, s = ]tx] , state = 9
Iteration 57135: c = s, s =  e{sr, state = 9
Iteration 57136: c = }, s = a[]s], state = 9
Iteration 57137: c = [, s = a}xs}, state = 9
Iteration 57138: c = e, s = [{srt, state = 9
Iteration 57139: c =  , s = xrasa, state = 9
Iteration 57140: c = r, s = se} e, state = 9
Iteration 57141: c = a, s = r )}{, state = 9
Iteration 57142: c = {, s = ]]r{}, state = 9
Iteration 57143: c = a, s = []][a, state = 9
Iteration 57144: c = r, s =  t}re, state = 9
Iteration 57145: c = t, s = }ert[, state = 9
Iteration 57146: c = ), s = }te[), state = 9
Iteration 57147: c = t, s = { r[x, state = 9
Iteration 57148: c = {, s = axe{], state = 9
Iteration 57149: c = a, s = s[ ae, state = 9
Iteration 57150: c = {, s = a t{a, state = 9
Iteration 57151: c = {, s = re(re, state = 9
Iteration 57152: c = ], s = e{[){, state = 9
Iteration 57153: c = }, s = rr[rs, state = 9
Iteration 57154: c = e, s = {rsx , state = 9
Iteration 57155: c = ], s = rr[]s, state = 9
Iteration 57156: c = a, s = e]{[}, state = 9
Iteration 57157: c = (, s = s  se, state = 9
Iteration 57158: c = ], s = ara)), state = 9
Iteration 57159: c = a, s = ar{{ , state = 9
Iteration 57160: c = ), s = tt (r, state = 9
Iteration 57161: c = {, s = }rter, state = 9
Iteration 57162: c = x, s = s)ea], state = 9
Iteration 57163: c = ], s = ((}x], state = 9
Iteration 57164: c = {, s = s{[{}, state = 9
Iteration 57165: c =  , s = e]a[r, state = 9
Iteration 57166: c = [, s = {{r (, state = 9
Iteration 57167: c = ], s = e{a]], state = 9
Iteration 57168: c = t, s =  r(s , state = 9
Iteration 57169: c = s, s = [([[ , state = 9
Iteration 57170: c = r, s = x[ar(, state = 9
Iteration 57171: c = [, s = sxxes, state = 9
Iteration 57172: c = }, s = )]]s , state = 9
Iteration 57173: c =  , s = s]((}, state = 9
Iteration 57174: c = a, s = t]x{e, state = 9
Iteration 57175: c = s, s = s{s{[, state = 9
Iteration 57176: c = (, s = a(rr[, state = 9
Iteration 57177: c = r, s =  )a[x, state = 9
Iteration 57178: c = ], s = }xx)], state = 9
Iteration 57179: c = (, s = (er}t, state = 9
Iteration 57180: c = r, s = }t[x , state = 9
Iteration 57181: c =  , s = ])a}a, state = 9
Iteration 57182: c = a, s = {rsrs, state = 9
Iteration 57183: c = x, s = a}[s , state = 9
Iteration 57184: c = ], s = taxrt, state = 9
Iteration 57185: c = }, s = )}))[, state = 9
Iteration 57186: c = e, s = eex a, state = 9
Iteration 57187: c = s, s = r]rra, state = 9
Iteration 57188: c = ), s = {e ar, state = 9
Iteration 57189: c = }, s = t]t)}, state = 9
Iteration 57190: c = s, s = {{aee, state = 9
Iteration 57191: c = a, s = )r{([, state = 9
Iteration 57192: c = ], s = (rxe}, state = 9
Iteration 57193: c = e, s = )ere(, state = 9
Iteration 57194: c = ), s = x{xar, state = 9
Iteration 57195: c = s, s = a((ss, state = 9
Iteration 57196: c = [, s = {)r}r, state = 9
Iteration 57197: c = s, s =  tere, state = 9
Iteration 57198: c =  , s = ]}{a , state = 9
Iteration 57199: c =  , s = te)} , state = 9
Iteration 57200: c = a, s = ar))), state = 9
Iteration 57201: c = x, s = ret]x, state = 9
Iteration 57202: c = e, s = }re x, state = 9
Iteration 57203: c = r, s = ]{{e], state = 9
Iteration 57204: c = ), s = {rae{, state = 9
Iteration 57205: c = r, s =  )xe , state = 9
Iteration 57206: c = [, s = a{txe, state = 9
Iteration 57207: c = a, s =   {{r, state = 9
Iteration 57208: c = r, s = [}s{a, state = 9
Iteration 57209: c = ), s = r] {x, state = 9
Iteration 57210: c = }, s = [e{x), state = 9
Iteration 57211: c = ), s = )[r]}, state = 9
Iteration 57212: c = }, s = [sta[, state = 9
Iteration 57213: c = e, s = ({ (a, state = 9
Iteration 57214: c = r, s = e{)(}, state = 9
Iteration 57215: c = t, s = r}t[[, state = 9
Iteration 57216: c = }, s = )])} , state = 9
Iteration 57217: c = {, s = (x[{t, state = 9
Iteration 57218: c = {, s = ([ax , state = 9
Iteration 57219: c = ], s =  (eea, state = 9
Iteration 57220: c =  , s = t[ss{, state = 9
Iteration 57221: c = s, s = }s]{a, state = 9
Iteration 57222: c = (, s = a]]ae, state = 9
Iteration 57223: c = ), s = }tre}, state = 9
Iteration 57224: c = [, s = )r(}r, state = 9
Iteration 57225: c = x, s = s])r], state = 9
Iteration 57226: c = r, s = e(rxa, state = 9
Iteration 57227: c = (, s = ]]sa{, state = 9
Iteration 57228: c = ], s = [ere], state = 9
Iteration 57229: c = {, s = t{([r, state = 9
Iteration 57230: c = t, s = )r) }, state = 9
Iteration 57231: c = a, s = ( xee, state = 9
Iteration 57232: c = s, s = [}rse, state = 9
Iteration 57233: c = s, s = rt]xr, state = 9
Iteration 57234: c = x, s = e]e[e, state = 9
Iteration 57235: c = ], s = t}a]r, state = 9
Iteration 57236: c = e, s = te{}e, state = 9
Iteration 57237: c = [, s = xe}(s, state = 9
Iteration 57238: c = x, s = t)ar(, state = 9
Iteration 57239: c =  , s = {[s([, state = 9
Iteration 57240: c = s, s = r(a[r, state = 9
Iteration 57241: c = (, s = [e[{a, state = 9
Iteration 57242: c = t, s = {re]t, state = 9
Iteration 57243: c = e, s = {[})r, state = 9
Iteration 57244: c = ), s = e[]e(, state = 9
Iteration 57245: c = e, s = ]tt[[, state = 9
Iteration 57246: c = e, s =  [e {, state = 9
Iteration 57247: c = (, s =  )t{a, state = 9
Iteration 57248: c = [, s = ()[) , state = 9
Iteration 57249: c = s, s = ({(st, state = 9
Iteration 57250: c = a, s = r]aee, state = 9
Iteration 57251: c = a, s = )[}ax, state = 9
Iteration 57252: c = e, s = )ea](, state = 9
Iteration 57253: c = s, s = e{xes, state = 9
Iteration 57254: c = e, s = s[tt[, state = 9
Iteration 57255: c = s, s =  r])}, state = 9
Iteration 57256: c = ), s = [ r}r, state = 9
Iteration 57257: c = {, s = }}(t , state = 9
Iteration 57258: c = x, s = e(ras, state = 9
Iteration 57259: c = ], s = (re[e, state = 9
Iteration 57260: c = e, s = (()se, state = 9
Iteration 57261: c = {, s = }s){}, state = 9
Iteration 57262: c = a, s = }tt](, state = 9
Iteration 57263: c = {, s = {[ sx, state = 9
Iteration 57264: c = a, s = ]]{xr, state = 9
Iteration 57265: c = [, s =  t te, state = 9
Iteration 57266: c = [, s =   [s], state = 9
Iteration 57267: c = ), s = a(] s, state = 9
Iteration 57268: c = s, s = x[tr(, state = 9
Iteration 57269: c = a, s = {rta{, state = 9
Iteration 57270: c = e, s = a)sr}, state = 9
Iteration 57271: c = r, s = er(er, state = 9
Iteration 57272: c = s, s = }[[a , state = 9
Iteration 57273: c = [, s = {s (), state = 9
Iteration 57274: c = a, s = xr{){, state = 9
Iteration 57275: c = }, s = }r[xx, state = 9
Iteration 57276: c = ], s =  a)}a, state = 9
Iteration 57277: c =  , s = xea)(, state = 9
Iteration 57278: c = r, s = ra)t), state = 9
Iteration 57279: c =  , s = x{(]r, state = 9
Iteration 57280: c = a, s = (a[as, state = 9
Iteration 57281: c = ), s = t(t}], state = 9
Iteration 57282: c =  , s = e{{ s, state = 9
Iteration 57283: c = a, s = ()es), state = 9
Iteration 57284: c = }, s = (t]xr, state = 9
Iteration 57285: c = }, s = r[ssa, state = 9
Iteration 57286: c = r, s = ) [}e, state = 9
Iteration 57287: c = e, s = srt(t, state = 9
Iteration 57288: c = t, s = x[}as, state = 9
Iteration 57289: c = [, s = e{{}), state = 9
Iteration 57290: c = s, s = (xst , state = 9
Iteration 57291: c = a, s = st]s}, state = 9
Iteration 57292: c = x, s = ea(sx, state = 9
Iteration 57293: c = {, s = eta x, state = 9
Iteration 57294: c = x, s = ax)][, state = 9
Iteration 57295: c =  , s = ](]r , state = 9
Iteration 57296: c = [, s = [(t](, state = 9
Iteration 57297: c = ), s = {s(xs, state = 9
Iteration 57298: c = ], s = )]]ts, state = 9
Iteration 57299: c = {, s = }a){t, state = 9
Iteration 57300: c = ), s = x]s{}, state = 9
Iteration 57301: c = (, s = a}a {, state = 9
Iteration 57302: c = ), s = [a)(t, state = 9
Iteration 57303: c = x, s = r}[}), state = 9
Iteration 57304: c = s, s = r[xx{, state = 9
Iteration 57305: c = a, s = {r([s, state = 9
Iteration 57306: c = ), s = (a x], state = 9
Iteration 57307: c = x, s = tes}s, state = 9
Iteration 57308: c = e, s = [)}[ , state = 9
Iteration 57309: c = [, s = [( x}, state = 9
Iteration 57310: c = ), s = t]}{e, state = 9
Iteration 57311: c = }, s = tss{x, state = 9
Iteration 57312: c = ], s = r}xr(, state = 9
Iteration 57313: c =  , s = r(t{ , state = 9
Iteration 57314: c = a, s = aaxrr, state = 9
Iteration 57315: c = t, s = }ert[, state = 9
Iteration 57316: c = ), s = xt)  , state = 9
Iteration 57317: c = [, s = [t]xe, state = 9
Iteration 57318: c = t, s = e}{te, state = 9
Iteration 57319: c = }, s =  atr[, state = 9
Iteration 57320: c = e, s = e]]}), state = 9
Iteration 57321: c = ], s = {{re), state = 9
Iteration 57322: c = t, s = t][){, state = 9
Iteration 57323: c = e, s = ][}s(, state = 9
Iteration 57324: c =  , s = }arx{, state = 9
Iteration 57325: c = t, s = {()ee, state = 9
Iteration 57326: c = a, s = )t} r, state = 9
Iteration 57327: c = {, s = a]e}x, state = 9
Iteration 57328: c = [, s = }[{ts, state = 9
Iteration 57329: c =  , s = a}r(s, state = 9
Iteration 57330: c = (, s = [({)[, state = 9
Iteration 57331: c = t, s = [](}[, state = 9
Iteration 57332: c = e, s = r)]][, state = 9
Iteration 57333: c = [, s = ]}[tx, state = 9
Iteration 57334: c = (, s = {t)([, state = 9
Iteration 57335: c = ], s = {[r}r, state = 9
Iteration 57336: c = r, s = ]t}rx, state = 9
Iteration 57337: c = ), s = ] ( t, state = 9
Iteration 57338: c = (, s =  re}s, state = 9
Iteration 57339: c = a, s = r{ x , state = 9
Iteration 57340: c =  , s = [)xr(, state = 9
Iteration 57341: c = a, s = ]r (), state = 9
Iteration 57342: c = e, s = e{ s}, state = 9
Iteration 57343: c = {, s = {r[ta, state = 9
Iteration 57344: c = s, s = x[(r}, state = 9
Iteration 57345: c = }, s = (}(rx, state = 9
Iteration 57346: c = {, s = [{[xx, state = 9
Iteration 57347: c = ), s = { sx , state = 9
Iteration 57348: c = a, s = r) t], state = 9
Iteration 57349: c = ), s = t(e{e, state = 9
Iteration 57350: c =  , s = r[ser, state = 9
Iteration 57351: c = x, s = (s)  , state = 9
Iteration 57352: c = [, s = t]xe{, state = 9
Iteration 57353: c = e, s = {(x)[, state = 9
Iteration 57354: c = [, s =  (([a, state = 9
Iteration 57355: c = [, s = x[(at, state = 9
Iteration 57356: c = t, s = s{s}x, state = 9
Iteration 57357: c = (, s = ]ar{ , state = 9
Iteration 57358: c = (, s = t){a(, state = 9
Iteration 57359: c = a, s = xxx]), state = 9
Iteration 57360: c = s, s = s[[t}, state = 9
Iteration 57361: c = t, s = sa st, state = 9
Iteration 57362: c = ], s = [r(ss, state = 9
Iteration 57363: c = ), s = ([( a, state = 9
Iteration 57364: c = x, s = rse{r, state = 9
Iteration 57365: c = a, s = {)} ], state = 9
